ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
