ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
1.106296683413907815e-03,-2.891229119873620079e-03,-2.813669196631412087e-03
1.106296673554225734e-03,-2.891229126020153882e-03,-2.813669194029735400e-03
1.106296663685997321e-03,-2.891229132177685398e-03,-2.813669191424830827e-03
1.106296653810078011e-03,-2.891229138345114379e-03,-2.813669188817019724e-03
1.106296643927235420e-03,-2.891229144521451598e-03,-2.813669186206594827e-03
1.106296634038163654e-03,-2.891229150705805842e-03,-2.813669183593816778e-03
1.106296624143483743e-03,-2.891229156897375668e-03,-2.813669180978920197e-03
1.106296614243757522e-03,-2.891229163095439432e-03,-2.813669178362117156e-03
1.106296604339490229e-03,-2.891229169299348346e-03,-2.813669175743599340e-03
1.106296594431135493e-03,-2.891229175508517376e-03,-2.813669173123537186e-03
1.106296584519102276e-03,-2.891229181722420032e-03,-2.813669170502085086e-03
1.106296574603757256e-03,-2.891229187940583169e-03,-2.813669167879383117e-03
1.106296564685432630e-03,-2.891229194162581347e-03,-2.813669165255555313e-03
1.106296554764426990e-03,-2.891229200388030756e-03,-2.813669162630713996e-03
1.106296544841007048e-03,-2.891229206616585320e-03,-2.813669160004961083e-03
1.106296534915414799e-03,-2.891229212847935826e-03,-2.813669157378388078e-03
1.106296524987867951e-03,-2.891229219081801680e-03,-2.813669154751076949e-03
1.106296515058561225e-03,-2.891229225317932649e-03,-2.813669152123100554e-03
1.106296505127671130e-03,-2.891229231556101051e-03,-2.813669149494525245e-03
1.106296495195356611e-03,-2.891229237796102188e-03,-2.813669146865412606e-03
1.106296485261758396e-03,-2.891229244037755216e-03,-2.813669144235814677e-03
1.106296475327005722e-03,-2.891229250280894034e-03,-2.813669141605781333e-03
1.106296465391215034e-03,-2.891229256525369891e-03,-2.813669138975355075e-03
1.106296455454489113e-03,-2.891229262771047477e-03,-2.813669136344576667e-03
1.106296445516921417e-03,-2.891229269017808398e-03,-2.813669133713479504e-03
1.106296435578595864e-03,-2.891229275265545101e-03,-2.813669131082096979e-03
1.106296425639588781e-03,-2.891229281514157839e-03,-2.813669128450455980e-03
1.106296415699968474e-03,-2.891229287763560311e-03,-2.813669125818585130e-03
1.106296405759797392e-03,-2.891229294013673585e-03,-2.813669123186503512e-03
1.106296395819128661e-03,-2.891229300264426105e-03,-2.813669120554234543e-03
1.106296385878012805e-03,-2.891229306515754119e-03,-2.813669117921796439e-03
1.106296375936494493e-03,-2.891229312767600382e-03,-2.813669115289206546e-03
1.106296365994614492e-03,-2.891229319019911984e-03,-2.813669112656480044e-03
1.106296356052408362e-03,-2.891229325272643390e-03,-2.813669110023629943e-03
1.106296346109908414e-03,-2.891229331525753832e-03,-2.813669107390669687e-03
1.106296336167145004e-03,-2.891229337779202112e-03,-2.813669104757609250e-03
1.106296326224144371e-03,-2.891229344032956138e-03,-2.813669102124459042e-03
1.106296316280928850e-03,-2.891229350286985984e-03,-2.813669099491228169e-03
1.106296306337521641e-03,-2.891229356541263895e-03,-2.813669096857924871e-03
1.106296296393941394e-03,-2.891229362795763851e-03,-2.813669094224555654e-03
1.106296286450204804e-03,-2.891229369050464168e-03,-2.813669091591127457e-03
1.106296276506327919e-03,-2.891229375305346197e-03,-2.813669088957646783e-03
1.106296266562325267e-03,-2.891229381560389555e-03,-2.813669086324117972e-03
1.106296256618208773e-03,-2.891229387815580365e-03,-2.813669083690547093e-03
1.106296246673990364e-03,-2.891229394070900845e-03,-2.813669081056936749e-03
1.106296236729679364e-03,-2.891229400326341022e-03,-2.813669078423291711e-03
1.106296226785285748e-03,-2.891229406581888317e-03,-2.813669075789615448e-03
1.106296216840817973e-03,-2.891229412837530589e-03,-2.813669073155910996e-03
1.106296206896283628e-03,-2.891229419093259163e-03,-2.813669070522181823e-03
1.106296196951688350e-03,-2.891229425349065366e-03,-2.813669067888429666e-03
1.106296187007038863e-03,-2.891229431604941825e-03,-2.813669065254656258e-03
1.106296177062340369e-03,-2.891229437860880734e-03,-2.813669062620865070e-03
1.106296167117598725e-03,-2.891229444116875588e-03,-2.813669059987056534e-03
1.106296157172816531e-03,-2.891229450372922918e-03,-2.813669057353234120e-03
1.106296147227998992e-03,-2.891229456629015784e-03,-2.813669054719397395e-03
1.106296137283150445e-03,-2.891229462885148982e-03,-2.813669052085548527e-03
1.106296127338271757e-03,-2.891229469141319477e-03,-2.813669049451688817e-03
1.106296117393368349e-03,-2.891229475397522498e-03,-2.813669046817819132e-03
1.106296107448441739e-03,-2.891229481653757177e-03,-2.813669044183942074e-03
1.106296097503492578e-03,-2.891229487910018311e-03,-2.813669041550055042e-03
1.106296087558526070e-03,-2.891229494166304165e-03,-2.813669038916162372e-03
1.106296077613541998e-03,-2.891229500422611270e-03,-2.813669036282262330e-03
1.106296067668543180e-03,-2.891229506678937456e-03,-2.813669033648356649e-03
1.106296057723530268e-03,-2.891229512935281857e-03,-2.813669031014446199e-03
1.106296047778504779e-03,-2.891229519191642738e-03,-2.813669028380530544e-03
1.106296037833468448e-03,-2.891229525448017496e-03,-2.813669025746610985e-03
1.106296027888422576e-03,-2.891229531704404398e-03,-2.813669023112687524e-03
1.106296017943367597e-03,-2.891229537960803876e-03,-2.813669020478761027e-03
1.106296007998304378e-03,-2.891229544217212896e-03,-2.813669017844831061e-03
1.106295998053234220e-03,-2.891229550473631889e-03,-2.813669015210898926e-03
1.106295988108156906e-03,-2.891229556730059557e-03,-2.813669012576963755e-03
1.106295978163074172e-03,-2.891229562986495031e-03,-2.813669009943026850e-03
1.106295968217986016e-03,-2.891229569242936576e-03,-2.813669007309086909e-03
1.106295958272893740e-03,-2.891229575499382892e-03,-2.813669004675145666e-03
1.106295948327796911e-03,-2.891229581755836581e-03,-2.813669002041203123e-03
1.106295938382696178e-03,-2.891229588012294172e-03,-2.813668999407258845e-03
1.106295928437592410e-03,-2.891229594268756968e-03,-2.813668996773312832e-03
