ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.583640681380406007e-03,-1.803940581766761512e-05,-2.147981126837891948e-03
3.583640674617550974e-03,-1.803940581716373894e-05,-2.147981138120877778e-03
3.583640667854696375e-03,-1.803940581665985937e-05,-2.147981149403864042e-03
3.583640661091841775e-03,-1.803940581615598318e-05,-2.147981160686849873e-03
3.583640654328986309e-03,-1.803940581565210361e-05,-2.147981171969836137e-03
3.583640647566131276e-03,-1.803940581514822743e-05,-2.147981183252821967e-03
3.583640640803276677e-03,-1.803940581464434786e-05,-2.147981194535807797e-03
3.583640634040422077e-03,-1.803940581414047506e-05,-2.147981205818793628e-03
3.583640627277567044e-03,-1.803940581363659210e-05,-2.147981217101779892e-03
3.583640620514711578e-03,-1.803940581313271253e-05,-2.147981228384766589e-03
3.583640613751856111e-03,-1.803940581262883974e-05,-2.147981239667751986e-03
3.583640606989001512e-03,-1.803940581212496016e-05,-2.147981250950737817e-03
3.583640600226146913e-03,-1.803940581162108059e-05,-2.147981262233723647e-03
3.583640593463291012e-03,-1.803940581111720441e-05,-2.147981273516709477e-03
3.583640586700436413e-03,-1.803940581061332484e-05,-2.147981284799695308e-03
3.583640579937580947e-03,-1.803940581010944865e-05,-2.147981296082681572e-03
3.583640573174725480e-03,-1.803940580960556908e-05,-2.147981307365667402e-03
3.583640566411870013e-03,-1.803940580910169290e-05,-2.147981318648652365e-03
3.583640559649015414e-03,-1.803940580859781333e-05,-2.147981329931638195e-03
3.583640552886159514e-03,-1.803940580809393715e-05,-2.147981341214624026e-03
3.583640546123304047e-03,-1.803940580759005757e-05,-2.147981352497610290e-03
3.583640539360448581e-03,-1.803940580708618139e-05,-2.147981363780595686e-03
3.583640532597593981e-03,-1.803940580658230182e-05,-2.147981375063581517e-03
3.583640525834737647e-03,-1.803940580607842564e-05,-2.147981386346567347e-03
3.583640519071882181e-03,-1.803940580557454945e-05,-2.147981397629552310e-03
3.583640512309026714e-03,-1.803940580507066649e-05,-2.147981408912538574e-03
3.583640505546171248e-03,-1.803940580456679031e-05,-2.147981420195523971e-03
3.583640498783315781e-03,-1.803940580406291413e-05,-2.147981431478509368e-03
3.583640492020459447e-03,-1.803940580355903455e-05,-2.147981442761495198e-03
3.583640485257603980e-03,-1.803940580305515837e-05,-2.147981454044480595e-03
3.583640478494748514e-03,-1.803940580255128219e-05,-2.147981465327465991e-03
3.583640471731892180e-03,-1.803940580204740262e-05,-2.147981476610451388e-03
3.583640464969036713e-03,-1.803940580154352304e-05,-2.147981487893436785e-03
3.583640458206180379e-03,-1.803940580103964686e-05,-2.147981499176422181e-03
3.583640451443324913e-03,-1.803940580053577068e-05,-2.147981510459407578e-03
3.583640444680468579e-03,-1.803940580003189111e-05,-2.147981521742392975e-03
3.583640437917613112e-03,-1.803940579952801492e-05,-2.147981533025378371e-03
3.583640431154756778e-03,-1.803940579902413874e-05,-2.147981544308363768e-03
3.583640424391900444e-03,-1.803940579852025578e-05,-2.147981555591349165e-03
3.583640417629044977e-03,-1.803940579801638298e-05,-2.147981566874334561e-03
3.583640410866188643e-03,-1.803940579751250341e-05,-2.147981578157319524e-03
3.583640404103332310e-03,-1.803940579700862384e-05,-2.147981589440304921e-03
3.583640397340475976e-03,-1.803940579650475105e-05,-2.147981600723290318e-03
3.583640390577620509e-03,-1.803940579600086809e-05,-2.147981612006275281e-03
3.583640383814764175e-03,-1.803940579549699190e-05,-2.147981623289260678e-03
3.583640377051907407e-03,-1.803940579499311233e-05,-2.147981634572245641e-03
3.583640370289051073e-03,-1.803940579448923615e-05,-2.147981645855231037e-03
3.583640363526194739e-03,-1.803940579398535658e-05,-2.147981657138216000e-03
3.583640356763338405e-03,-1.803940579348148039e-05,-2.147981668421201397e-03
3.583640350000482071e-03,-1.803940579297760082e-05,-2.147981679704186360e-03
3.583640343237625737e-03,-1.803940579247372125e-05,-2.147981690987171323e-03
3.583640336474769404e-03,-1.803940579196984845e-05,-2.147981702270156286e-03
